"relative_path","size_bytes","LastWriteTime"
".gitignore","298","7/6/2026 2:17:23 PM"
"00_Admin\COURSE_INFO.md","247","7/6/2026 2:17:23 PM"
"99_Tracking\MISSING_ITEMS.md","232","7/6/2026 2:17:23 PM"
"analyze_all_gantt_files.py","7329","4/16/2026 7:55:00 PM"
"analyze_gantt_detailed.py","4155","4/16/2026 7:55:00 PM"
"analyze_gantt_files.py","4019","4/16/2026 7:55:00 PM"
"convert_pdfs_to_images.py","1075","4/16/2026 7:55:00 PM"
"DELIVERY_COMPLETE_FINAL.md","8046","4/16/2026 7:55:00 PM"
"DO_THIS_NOW_NEXT_STEPS.md","2025","4/16/2026 7:55:00 PM"
"FINAL_DELIVERY_SUMMARY.md","12876","4/16/2026 7:55:00 PM"
"FINAL_DELIVERY_VERIFICATION.md","2590","4/16/2026 7:55:00 PM"
"FORUM_POST_1_TARA_PLAIN_TEXT.txt","2152","4/16/2026 7:55:00 PM"
"FORUM_POST_2_TECH603_PLAIN_TEXT.txt","4670","4/16/2026 7:55:00 PM"
"FORUM_POST_CRITIQUE_1_TARA.md","2285","4/16/2026 7:55:00 PM"
"FORUM_POST_CRITIQUE_2_TECH603.md","4961","4/16/2026 7:55:00 PM"
"gantt_analysis_output.txt","552179","4/16/2026 7:27:35 PM"
"GANTT_CHART_ANALYSIS.md","9901","4/16/2026 7:55:00 PM"
"gantt_chart_update.md","936","4/22/2026 2:58:31 AM"
"gantt_enhanced.py","21428","4/16/2026 7:55:00 PM"
"gantt_final.py","14432","4/16/2026 7:15:10 PM"
"gantt_v4.py","25375","4/22/2026 3:09:44 AM"
"GanttChart_Kamrul_PhD.pdf","217591","4/20/2026 12:52:49 AM"
"GanttChart_Kamrul_PhD.pptx","41100","4/16/2026 7:07:15 PM"
"GanttChart_Kamrul_PhD_ENHANCED.pptx","56904","4/16/2026 7:50:06 PM"
"GanttChart_Kamrul_PhD_v2.pdf","112610","3/11/2026 11:52:40 PM"
"GanttChart_Kamrul_PhD_v3.pptx","41100","4/16/2026 7:07:18 PM"
"GanttChart_Kamrul_PhD_v4.pdf","380349","4/22/2026 3:10:01 AM"
"GanttChart_Kamrul_PhD_v4.pptx","48764","4/22/2026 3:09:49 AM"
"GanttChart_peer_review_mKamrul.pdf","360772","4/16/2026 7:51:05 PM"
"Graduate_Reflection_Kamrul.pdf","81830","1/21/2026 11:34:28 PM"
"Graduate_Reflection_Mustak.pdf","88006","1/21/2026 11:23:31 PM"
"GRO_Mustak.pdf","95757","2/18/2026 10:14:18 PM"
"GROW - Way Forward.pdf","52742","2/25/2026 9:53:08 PM"
"HOW_TO_USE_YOUR_DELIVERABLES.md","8640","4/16/2026 7:55:00 PM"
"Individual Development Plan Template.docx","20270","4/30/2026 11:04:08 PM"
"Kamrul_MdKamruzzaman_IDP.docx","20318","4/30/2026 11:05:14 PM"
"mkamrul.pdf","49195","2/18/2026 10:27:00 PM"
"mkamrul_myIDPmapping.pdf","322096","1/28/2026 11:52:30 PM"
"mkamrul_Reflection_Gantt_Chart.pdf","79032","3/11/2026 11:54:55 PM"
"Other reference gantt chart\_Gantt Chart.pdf","83366","4/16/2026 7:14:54 PM"
"Other reference gantt chart\My Graduate Program Timeline.jpg","261782","4/16/2026 7:14:18 PM"
"Other reference gantt chart\Tara Middlebrooks_Gantt_PhD Timeline.pdf","298505","4/16/2026 7:12:39 PM"
"Other reference gantt chart\TECH 603 Gantt chart.xlsx","106681","4/16/2026 7:12:28 PM"
"Other reference gantt chart\Trisolicha_GanttChart_TECH603_REV1.pdf","46401","4/16/2026 7:12:53 PM"
"PEER_REVIEW_FEEDBACK.md","16105","4/16/2026 7:55:00 PM"
"Prelim Checklist.pdf","49971","4/22/2026 3:16:17 AM"
"Preliminary handbook APPROVED.pdf","344305","4/22/2026 2:40:23 AM"
"preliminary_handbook_guideline.md","1549","4/22/2026 2:56:49 AM"
"PROJECT_COMPLETE_INDEX.md","5370","4/16/2026 7:55:00 PM"
"PROJECT_FINAL_COMPLETION_STATUS.md","8374","4/16/2026 7:55:00 PM"
"RCR Training_Basic Stage.pdf","114865","4/30/2026 11:21:49 PM"
"README.md","648","7/6/2026 2:17:23 PM"
"README_DELIVERABLES.md","7147","4/16/2026 7:15:10 PM"
"REFERENCE_GANTT_ANALYSIS.md","10420","4/16/2026 7:55:00 PM"
"review_checklist.md","742","4/16/2026 7:11:40 PM"
"REVISED_4YEAR_PhD_PLAN.md","15823","4/16/2026 7:15:10 PM"
"REVISION_SUMMARY.md","8189","4/16/2026 7:15:10 PM"
"RUBRIC_COMPLIANCE_VERIFICATION.md","12389","4/16/2026 7:55:00 PM"
"SUBMISSION_READY_CHECKLIST.md","6328","4/16/2026 7:55:00 PM"
"TECH 60300 Syllabus - SP 2026 - Brightspace.pdf","155244","1/14/2026 3:34:40 AM"
"week11_revised_gantt_chart_assignment_instruction.md","522","4/16/2026 6:49:16 PM"
"WORK_IS_FINISHED.md","1815","4/16/2026 7:55:00 PM"
"Worksheet.xlsx","13966","2/2/2026 12:31:39 AM"
